"year","sex","parent_count","source_method","source_url","source_file_md5","denominator_definition"
2016,"female",36307000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2016,"male",28584000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2017,"female",35753000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2017,"male",28468000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2018,"female",35653000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2018,"male",28588000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2019,"female",35377000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2019,"male",28490000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2020,"female",34886000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2020,"male",28247000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2021,"female",34864000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2021,"male",28222000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2022,"female",34895000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2022,"male",28319000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2023,"female",34462000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2023,"male",28052000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2024,"female",34188507.89,"Derived from Census CPS ASEC public-use person records using child-to-parent pointers and MARSUPWT","https://www2.census.gov/programs-surveys/cps/datasets/2024/march/asec2024_pubuse.dat.gz","430522bf48b5df21cc9afc998a751370","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2024,"male",28103352.61,"Derived from Census CPS ASEC public-use person records using child-to-parent pointers and MARSUPWT","https://www2.census.gov/programs-surveys/cps/datasets/2024/march/asec2024_pubuse.dat.gz","430522bf48b5df21cc9afc998a751370","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2025,"female",34601620.54,"Derived from Census CPS ASEC public-use person records using child-to-parent pointers and MARSUPWT","https://www2.census.gov/programs-surveys/cps/datasets/2025/march/asec2025_pubuse.dat.gz","729a7b853aa577a2b9b74eebc63fa13e","People with at least one coresident, never-married biological, step, or adopted child under age 18"
2025,"male",28051307.26,"Derived from Census CPS ASEC public-use person records using child-to-parent pointers and MARSUPWT","https://www2.census.gov/programs-surveys/cps/datasets/2025/march/asec2025_pubuse.dat.gz","729a7b853aa577a2b9b74eebc63fa13e","People with at least one coresident, never-married biological, step, or adopted child under age 18"
