"year","sex","resident_population","estimate_date","source_vintage","source_url","source_file_md5"
2016,"male",159085693,"July 1, 2016","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158"
2016,"female",163986062,"July 1, 2016","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158"
2017,"male",160113445,"July 1, 2017","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158"
2017,"female",165008683,"July 1, 2017","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158"
2018,"male",160960513,"July 1, 2018","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158"
2018,"female",165877686,"July 1, 2018","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158"
2019,"male",161692336,"July 1, 2019","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158"
2019,"female",166637617,"July 1, 2019","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158"
2020,"male",162780726,"July 1, 2020","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2020,"female",168797378,"July 1, 2020","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2021,"male",162980790,"July 1, 2021","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2021,"female",169119376,"July 1, 2021","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2022,"male",163868084,"July 1, 2022","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2022,"female",170128220,"July 1, 2022","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2023,"male",165233378,"July 1, 2023","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2023,"female",171521674,"July 1, 2023","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2024,"male",166868649,"July 1, 2024","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2024,"female",173135148,"July 1, 2024","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2025,"male",167737525,"July 1, 2025","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
2025,"female",174047332,"July 1, 2025","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10"
