year,age_bin_scheme,age_bin_order,victim_age_bin,male_offender_records,female_offender_records,unknown_or_not_specified_offender_records,known_sex_offender_records,total_offender_records,male_percent_known_sex,female_percent_known_sex,male_percent_all_records,female_percent_all_records,unknown_or_not_specified_percent_all_records,male_to_female_ratio_known_sex
1985,standard_nonoverlap,1,under 1 year,66,94,7,160,167,41.250,58.750,39.521,56.287,4.192,0.702
1985,standard_nonoverlap,2,1-4 years,102,64,3,166,169,61.446,38.554,60.355,37.870,1.775,1.594
1985,standard_nonoverlap,3,5-9 years,36,14,0,50,50,72.000,28.000,72.000,28.000,0.000,2.571
1985,standard_nonoverlap,4,10-14 years,17,4,0,21,21,80.952,19.048,80.952,19.048,0.000,4.250
1985,standard_nonoverlap,5,15-17 years,9,3,0,12,12,75.000,25.000,75.000,25.000,0.000,3.000
1985,overall,1,under 18 years,230,179,10,409,419,56.235,43.765,54.893,42.721,2.387,1.285
1986,standard_nonoverlap,1,under 1 year,78,107,3,185,188,42.162,57.838,41.489,56.915,1.596,0.729
1986,standard_nonoverlap,2,1-4 years,88,95,1,183,184,48.087,51.913,47.826,51.630,0.543,0.926
1986,standard_nonoverlap,3,5-9 years,16,20,0,36,36,44.444,55.556,44.444,55.556,0.000,0.800
1986,standard_nonoverlap,4,10-14 years,12,4,0,16,16,75.000,25.000,75.000,25.000,0.000,3.000
1986,standard_nonoverlap,5,15-17 years,9,4,0,13,13,69.231,30.769,69.231,30.769,0.000,2.250
1986,overall,1,under 18 years,203,230,4,433,437,46.882,53.118,46.453,52.632,0.915,0.883
1987,standard_nonoverlap,1,under 1 year,86,98,4,184,188,46.739,53.261,45.745,52.128,2.128,0.878
1987,standard_nonoverlap,2,1-4 years,71,75,0,146,146,48.630,51.370,48.630,51.370,0.000,0.947
1987,standard_nonoverlap,3,5-9 years,16,17,0,33,33,48.485,51.515,48.485,51.515,0.000,0.941
1987,standard_nonoverlap,4,10-14 years,13,3,0,16,16,81.250,18.750,81.250,18.750,0.000,4.333
1987,standard_nonoverlap,5,15-17 years,13,6,0,19,19,68.421,31.579,68.421,31.579,0.000,2.167
1987,overall,1,under 18 years,199,199,4,398,402,50.000,50.000,49.502,49.502,0.995,1.000
1988,standard_nonoverlap,1,under 1 year,80,103,2,183,185,43.716,56.284,43.243,55.676,1.081,0.777
1988,standard_nonoverlap,2,1-4 years,73,63,1,136,137,53.676,46.324,53.285,45.985,0.730,1.159
1988,standard_nonoverlap,3,5-9 years,32,15,0,47,47,68.085,31.915,68.085,31.915,0.000,2.133
1988,standard_nonoverlap,4,10-14 years,6,6,0,12,12,50.000,50.000,50.000,50.000,0.000,1.000
1988,standard_nonoverlap,5,15-17 years,7,6,0,13,13,53.846,46.154,53.846,46.154,0.000,1.167
1988,overall,1,under 18 years,198,193,3,391,394,50.639,49.361,50.254,48.985,0.761,1.026
1989,standard_nonoverlap,1,under 1 year,68,107,6,175,181,38.857,61.143,37.569,59.116,3.315,0.636
1989,standard_nonoverlap,2,1-4 years,78,84,2,162,164,48.148,51.852,47.561,51.220,1.220,0.929
1989,standard_nonoverlap,3,5-9 years,23,20,0,43,43,53.488,46.512,53.488,46.512,0.000,1.150
1989,standard_nonoverlap,4,10-14 years,13,6,0,19,19,68.421,31.579,68.421,31.579,0.000,2.167
1989,standard_nonoverlap,5,15-17 years,15,1,0,16,16,93.750,6.250,93.750,6.250,0.000,15.000
1989,overall,1,under 18 years,197,218,8,415,423,47.470,52.530,46.572,51.537,1.891,0.904
1990,standard_nonoverlap,1,under 1 year,78,95,5,173,178,45.087,54.913,43.820,53.371,2.809,0.821
1990,standard_nonoverlap,2,1-4 years,81,63,1,144,145,56.250,43.750,55.862,43.448,0.690,1.286
1990,standard_nonoverlap,3,5-9 years,18,15,0,33,33,54.545,45.455,54.545,45.455,0.000,1.200
1990,standard_nonoverlap,4,10-14 years,21,7,0,28,28,75.000,25.000,75.000,25.000,0.000,3.000
1990,standard_nonoverlap,5,15-17 years,9,4,0,13,13,69.231,30.769,69.231,30.769,0.000,2.250
1990,overall,1,under 18 years,207,184,6,391,397,52.941,47.059,52.141,46.348,1.511,1.125
1991,standard_nonoverlap,1,under 1 year,110,120,2,230,232,47.826,52.174,47.414,51.724,0.862,0.917
1991,standard_nonoverlap,2,1-4 years,85,76,2,161,163,52.795,47.205,52.147,46.626,1.227,1.118
1991,standard_nonoverlap,3,5-9 years,7,17,0,24,24,29.167,70.833,29.167,70.833,0.000,0.412
1991,standard_nonoverlap,4,10-14 years,19,11,0,30,30,63.333,36.667,63.333,36.667,0.000,1.727
1991,standard_nonoverlap,5,15-17 years,9,2,0,11,11,81.818,18.182,81.818,18.182,0.000,4.500
