year,victim_age_code,victim_age_label,standard_age_bin,detailed_age_bin,offender_sex,raw_offender_sex_code,parent_type,relationship_code,relationship_label,offender_record_count
1985,01,1 years,1-4 years,1-4 years,female,F,parent,DA,daughter,15
1985,01,1 years,1-4 years,1-4 years,female,F,parent,SO,son,13
1985,01,1 years,1-4 years,1-4 years,male,M,parent,DA,daughter,8
1985,01,1 years,1-4 years,1-4 years,male,M,parent,SO,son,22
1985,01,1 years,1-4 years,1-4 years,male,M,stepparent,SD,stepdaughter,3
1985,01,1 years,1-4 years,1-4 years,unknown/not specified,U,parent,DA,daughter,2
1985,02,2 years,1-4 years,1-4 years,female,F,parent,DA,daughter,12
1985,02,2 years,1-4 years,1-4 years,female,F,parent,SO,son,13
1985,02,2 years,1-4 years,1-4 years,male,M,parent,DA,daughter,13
1985,02,2 years,1-4 years,1-4 years,male,M,parent,SO,son,16
1985,02,2 years,1-4 years,1-4 years,male,M,stepparent,SD,stepdaughter,3
1985,02,2 years,1-4 years,1-4 years,male,M,stepparent,SS,stepson,4
1985,03,3 years,1-4 years,1-4 years,female,F,parent,DA,daughter,3
1985,03,3 years,1-4 years,1-4 years,female,F,parent,SO,son,3
1985,03,3 years,1-4 years,1-4 years,male,M,parent,DA,daughter,5
1985,03,3 years,1-4 years,1-4 years,male,M,parent,SO,son,6
1985,03,3 years,1-4 years,1-4 years,male,M,stepparent,SD,stepdaughter,3
1985,03,3 years,1-4 years,1-4 years,male,M,stepparent,SS,stepson,4
1985,03,3 years,1-4 years,1-4 years,unknown/not specified,U,parent,SO,son,1
1985,04,4 years,1-4 years,1-4 years,female,F,parent,DA,daughter,4
1985,04,4 years,1-4 years,1-4 years,female,F,parent,SO,son,1
1985,04,4 years,1-4 years,1-4 years,male,M,parent,DA,daughter,1
1985,04,4 years,1-4 years,1-4 years,male,M,parent,SO,son,11
1985,04,4 years,1-4 years,1-4 years,male,M,stepparent,SD,stepdaughter,1
1985,04,4 years,1-4 years,1-4 years,male,M,stepparent,SS,stepson,2
1985,05,5 years,5-9 years,5-9 years,female,F,parent,DA,daughter,5
1985,05,5 years,5-9 years,5-9 years,male,M,parent,DA,daughter,6
1985,05,5 years,5-9 years,5-9 years,male,M,parent,SO,son,5
1985,05,5 years,5-9 years,5-9 years,male,M,stepparent,SD,stepdaughter,2
1985,05,5 years,5-9 years,5-9 years,male,M,stepparent,SS,stepson,1
1985,06,6 years,5-9 years,5-9 years,female,F,parent,SO,son,2
1985,06,6 years,5-9 years,5-9 years,female,F,stepparent,SS,stepson,1
1985,06,6 years,5-9 years,5-9 years,male,M,parent,DA,daughter,3
1985,06,6 years,5-9 years,5-9 years,male,M,parent,SO,son,5
1985,06,6 years,5-9 years,5-9 years,male,M,stepparent,SS,stepson,3
1985,07,7 years,5-9 years,5-9 years,female,F,parent,DA,daughter,1
1985,07,7 years,5-9 years,5-9 years,female,F,parent,SO,son,1
1985,07,7 years,5-9 years,5-9 years,male,M,parent,DA,daughter,1
1985,07,7 years,5-9 years,5-9 years,male,M,stepparent,SD,stepdaughter,1
1985,07,7 years,5-9 years,5-9 years,male,M,stepparent,SS,stepson,1
1985,08,8 years,5-9 years,5-9 years,female,F,parent,DA,daughter,1
1985,08,8 years,5-9 years,5-9 years,female,F,parent,SO,son,1
1985,08,8 years,5-9 years,5-9 years,male,M,parent,DA,daughter,3
1985,08,8 years,5-9 years,5-9 years,male,M,parent,SO,son,3
1985,09,9 years,5-9 years,5-9 years,female,F,parent,DA,daughter,2
1985,09,9 years,5-9 years,5-9 years,male,M,parent,DA,daughter,1
1985,09,9 years,5-9 years,5-9 years,male,M,parent,SO,son,1
1985,10,10 years,10-14 years,10-14 years,male,M,parent,DA,daughter,2
1985,10,10 years,10-14 years,10-14 years,male,M,parent,SO,son,1
1985,11,11 years,10-14 years,10-14 years,female,F,parent,DA,daughter,1
1985,11,11 years,10-14 years,10-14 years,male,M,parent,DA,daughter,1
1985,12,12 years,10-14 years,10-14 years,female,F,parent,DA,daughter,1
1985,12,12 years,10-14 years,10-14 years,male,M,parent,SO,son,1
1985,13,13 years,10-14 years,10-14 years,female,F,parent,DA,daughter,1
1985,13,13 years,10-14 years,10-14 years,female,F,parent,SO,son,1
1985,13,13 years,10-14 years,10-14 years,male,M,parent,DA,daughter,3
1985,13,13 years,10-14 years,10-14 years,male,M,parent,SO,son,4
1985,13,13 years,10-14 years,10-14 years,male,M,stepparent,SS,stepson,3
1985,14,14 years,10-14 years,10-14 years,male,M,stepparent,SS,stepson,2
1985,15,15 years,15-17 years,15-17 years,female,F,parent,DA,daughter,2
1985,15,15 years,15-17 years,15-17 years,male,M,parent,DA,daughter,3
1985,15,15 years,15-17 years,15-17 years,male,M,stepparent,SD,stepdaughter,1
1985,17,17 years,15-17 years,15-17 years,female,F,parent,SO,son,1
1985,17,17 years,15-17 years,15-17 years,male,M,parent,DA,daughter,1
1985,17,17 years,15-17 years,15-17 years,male,M,parent,SO,son,1
1985,17,17 years,15-17 years,15-17 years,male,M,stepparent,SD,stepdaughter,1
1985,17,17 years,15-17 years,15-17 years,male,M,stepparent,SS,stepson,2
1985,BB,7-364 days,under 1 year,7-364 days,female,F,parent,DA,daughter,21
1985,BB,7-364 days,under 1 year,7-364 days,female,F,parent,SO,son,34
1985,BB,7-364 days,under 1 year,7-364 days,male,M,parent,DA,daughter,34
1985,BB,7-364 days,under 1 year,7-364 days,male,M,parent,SO,son,26
1985,BB,7-364 days,under 1 year,7-364 days,male,M,stepparent,SS,stepson,2
1985,NB,0-6 days,under 1 year,0-6 days,female,F,parent,DA,daughter,22
1985,NB,0-6 days,under 1 year,0-6 days,female,F,parent,SO,son,17
1985,NB,0-6 days,under 1 year,0-6 days,male,M,parent,DA,daughter,2
1985,NB,0-6 days,under 1 year,0-6 days,male,M,parent,SO,son,2
1985,NB,0-6 days,under 1 year,0-6 days,unknown/not specified,U,parent,DA,daughter,5
1985,NB,0-6 days,under 1 year,0-6 days,unknown/not specified,U,parent,SO,son,2
1986,01,1 years,1-4 years,1-4 years,female,F,parent,DA,daughter,20
1986,01,1 years,1-4 years,1-4 years,female,F,parent,SO,son,19
1986,01,1 years,1-4 years,1-4 years,male,M,parent,DA,daughter,8
1986,01,1 years,1-4 years,1-4 years,male,M,parent,SO,son,17
1986,01,1 years,1-4 years,1-4 years,male,M,stepparent,SD,stepdaughter,3
1986,01,1 years,1-4 years,1-4 years,male,M,stepparent,SS,stepson,3
1986,02,2 years,1-4 years,1-4 years,female,F,parent,DA,daughter,10
1986,02,2 years,1-4 years,1-4 years,female,F,parent,SO,son,16
