year,male_offender_records,female_offender_records,unknown_offender_records,not_specified_offender_records,other_offender_records,known_sex_offender_records,total_offender_records,male_percent_known_sex,female_percent_known_sex,male_percent_all_records,female_percent_all_records,unknown_not_specified_other_percent_all_records,male_to_female_ratio_known_sex,api_last_refresh_date,source,source_url
1985,12356,1892,4585,0,0,14248,18833,86.721,13.279,65.608,10.046,24.346,6.531,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1986,13613,2016,5110,0,0,15629,20739,87.101,12.899,65.640,9.721,24.640,6.752,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1987,12384,1840,5180,0,0,14224,19404,87.064,12.936,63.822,9.483,26.696,6.730,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1988,12873,1746,5234,0,0,14619,19853,88.057,11.943,64.842,8.795,26.364,7.373,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1989,13622,1796,5489,0,0,15418,20907,88.351,11.649,65.155,8.590,26.254,7.585,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1990,15098,1762,6035,0,0,16860,22895,89.549,10.451,65.945,7.696,26.359,8.569,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1991,15778,1762,7282,0,0,17540,24822,89.954,10.046,63.565,7.099,29.337,8.955,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1992,16019,1711,7665,0,0,17730,25395,90.350,9.650,63.079,6.738,30.183,9.362,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1993,16798,1732,7588,0,0,18530,26118,90.653,9.347,64.316,6.631,29.053,9.699,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1994,16379,1688,7024,0,0,18067,25091,90.657,9.343,65.278,6.728,27.994,9.703,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1995,14784,1426,6453,0,0,16210,22663,91.203,8.797,65.234,6.292,28.474,10.367,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1996,12641,1401,5317,0,0,14042,19359,90.023,9.977,65.298,7.237,27.465,9.023,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1997,11546,1267,5121,0,0,12813,17934,90.112,9.888,64.381,7.065,28.555,9.113,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1998,10648,1257,4278,0,0,11905,16183,89.441,10.559,65.797,7.767,26.435,8.471,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
1999,9524,1101,3971,0,0,10625,14596,89.638,10.362,65.251,7.543,27.206,8.650,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2000,9866,1086,4110,0,0,10952,15062,90.084,9.916,65.503,7.210,27.287,9.085,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2001,10508,1132,4319,0,0,11640,15959,90.275,9.725,65.844,7.093,27.063,9.283,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2002,10496,1135,4451,0,0,11631,16082,90.242,9.758,65.266,7.058,27.677,9.248,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2003,10330,1149,4669,0,0,11479,16148,89.990,10.010,63.971,7.115,28.914,8.990,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2004,10422,1158,4542,0,0,11580,16122,90.000,10.000,64.645,7.183,28.173,9.000,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2005,11278,1273,4653,0,0,12551,17204,89.857,10.143,65.555,7.399,27.046,8.859,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2006,11675,1178,4722,0,0,12853,17575,90.835,9.165,66.430,6.703,26.868,9.911,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2007,11200,1228,4843,0,0,12428,17271,90.119,9.881,64.849,7.110,28.041,9.121,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2008,10754,1193,4540,0,0,11947,16487,90.014,9.986,65.227,7.236,27.537,9.014,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
2009,10543,1214,4159,0,0,11757,15916,89.674,10.326,66.242,7.628,26.131,8.685,08/15/2026,FBI Crime Data Explorer Expanded Homicide API,https://cde.ucr.cjis.gov/LATEST/shr/national
