year,source_name,stable_catalog_key,download_catalog_url,sha256,zip_size_bytes,retrieved_or_verified_utc,records_total,murder_or_nonnegligent_incident_records_including_justifiable,victim_slots_in_those_records_including_justifiable,incident_records_coded_justifiable,reported_additional_offenders_beyond_fixed_layout,qualifying_filicide_offender_records,qualifying_filicide_raw_sex_codes
1985,FBI Supplementary Homicide Report master file,master_files/shr/shr-1985.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,119352828d361c805974cd91ae2d0ffafb228fee5821971407be6ebc0f7b716b,279184,2026-09-06T00:50:50+00:00,17597,17348,18131,585,0,419,"{""F"": 179, ""M"": 230, ""U"": 10}"
1986,FBI Supplementary Homicide Report master file,master_files/shr/shr-1986.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,638f89c2309d061cbc2ef0ac0655154d37afc23b42eb438ff8546126d41cd903,298532,2026-09-06T00:50:50+00:00,19346,19089,19849,579,0,437,"{""F"": 230, ""M"": 203, ""U"": 4}"
1987,FBI Supplementary Homicide Report master file,master_files/shr/shr-1987.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,ba1b321423c302ee11ae4068c4e2cd1e07600bf1f2bf80bd944178dd6d876ab4,274092,2026-09-06T00:50:50+00:00,18013,17747,18509,542,0,402,"{""F"": 199, ""M"": 199, ""U"": 4}"
1988,FBI Supplementary Homicide Report master file,master_files/shr/shr-1988.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,079271584a170aa9a2ee5a022639bc513a5c6bfd6f4cf23c43a339dcccffb139,270761,2026-09-06T00:50:50+00:00,18071,17846,18546,569,0,394,"{""F"": 193, ""M"": 198, ""U"": 3}"
1989,FBI Supplementary Homicide Report master file,master_files/shr/shr-1989.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,c76121db39e404252a475c1ffd41af64f3e5a6a5e5f99b3cf068f17034af8f10,285997,2026-09-06T00:50:50+00:00,19088,18812,19588,628,0,423,"{""F"": 218, ""M"": 197, ""U"": 8}"
1990,FBI Supplementary Homicide Report master file,master_files/shr/shr-1990.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,b8aa1b0991bd5f5aa83b220412a0fea592c80e617ced876bcaa063989d5ec787,304755,2026-09-06T00:50:50+00:00,20404,20154,20986,703,0,397,"{""F"": 184, ""M"": 207, ""U"": 6}"
1991,FBI Supplementary Homicide Report master file,master_files/shr/shr-1991.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,1c6ba7fd60d5460804412200c3fb12f3534a6df53039f9262e0a2c51eed0b84d,316037,2026-09-06T00:50:50+00:00,21817,21545,22374,682,0,460,"{""F"": 226, ""M"": 230, ""U"": 4}"
1992,FBI Supplementary Homicide Report master file,master_files/shr/shr-1992.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,14f138cc0065d3607c1e7ab02737c7e6204f5227768a32698572c3c5e219ed47,329692,2026-09-06T00:50:50+00:00,22753,22460,23485,759,0,455,"{""F"": 180, ""M"": 267, ""U"": 8}"
1993,FBI Supplementary Homicide Report master file,master_files/shr/shr-1993.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,51aec6a31ea7ffdc2b739790a64f9436c2e4b48f8e028c73b0615b792d30721d,335280,2026-09-06T00:50:50+00:00,23320,22984,23992,809,0,470,"{""F"": 193, ""M"": 273, ""U"": 4}"
1994,FBI Supplementary Homicide Report master file,master_files/shr/shr-1994.zip,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,6c092c1e5962a2bdb2f7c63fbf735d5a59c8736f61e516733c7b4168db435ccf,322829,2026-09-06T00:50:50+00:00,22231,21896,22899,803,0,461,"{""F"": 226, ""M"": 231, ""U"": 4}"
