"year","homicide_group","homicide_group_label","male_offender_records","female_offender_records","known_sex_offender_records","fitted_female_proportion","pearson_residual","standardized_pearson_residual","leverage","cooks_distance","flag_cooks_distance"
2016,"other_homicide","All other homicide (reference)",10515,1217,11732,0.102407697806547,0.47360817854426,1.93278849993239,0.939955985514037,3.65499241342756,TRUE
2017,"other_homicide","All other homicide (reference)",10729,1317,12046,0.108606834329973,0.255408351017593,1.06834470750987,0.942845901289645,1.17678238807116,TRUE
2018,"other_homicide","All other homicide (reference)",10540,1368,11908,0.114053262275089,0.284069488064553,1.19505157098055,0.943496430684554,1.49045095688039,TRUE
2019,"other_homicide","All other homicide (reference)",10925,1396,12321,0.112690691776866,0.214758737444624,0.889135205632034,0.941660047533038,0.797523895617554,TRUE
2020,"other_homicide","All other homicide (reference)",14464,1865,16329,0.114004210437972,0.0843404515160626,0.399825428869131,0.955502970479414,0.214546711676822,TRUE
2021,"other_homicide","All other homicide (reference)",14094,1916,16010,0.119887906719018,-0.0828541126078585,-0.42194454169554,0.961441742961657,0.277457420015782,TRUE
2022,"other_homicide","All other homicide (reference)",16579,2138,18717,0.114489177338127,-0.112346792399948,-0.514760840432508,0.952366734856497,0.33111959719741,TRUE
2023,"other_homicide","All other homicide (reference)",15954,1992,17946,0.112190556554697,-0.50549605868273,-2.42758273654316,0.956640180387903,8.12623260407561,TRUE
2024,"other_homicide","All other homicide (reference)",14540,1925,16465,0.117080387361901,-0.0661382705809298,-0.321519165849067,0.957685234716557,0.146226001889789,TRUE
2025,"other_homicide","All other homicide (reference)",12146,1472,13618,0.109024256538778,-0.348971556585116,-1.65946381627209,0.955777378209304,3.71987076923586,TRUE
2016,"filicide_birth_through_6_days","Filicide, birth-6 days",3,14,17,0.643238042808703,1.55175897966658,1.72673176207957,0.192395408897791,0.0443941451607889,FALSE
2017,"filicide_birth_through_6_days","Filicide, birth-6 days",6,11,17,0.658169817448628,-0.0965835548384884,-0.107215633404888,0.188496979643637,0.000166882387281548,FALSE
2018,"filicide_birth_through_6_days","Filicide, birth-6 days",4,9,13,0.670447313762896,0.167681287043114,0.180996894574365,0.141724035921746,0.00033809506029005,FALSE
2019,"filicide_birth_through_6_days","Filicide, birth-6 days",4,7,11,0.667445360696595,-0.218807438550538,-0.233317549641228,0.120513148934464,0.000466208206921412,FALSE
2020,"filicide_birth_through_6_days","Filicide, birth-6 days",4,2,6,0.670340026841969,-1.75603620726794,-1.81638289296466,0.0653432934187921,0.0144159649139578,FALSE
2021,"filicide_birth_through_6_days","Filicide, birth-6 days",2,5,7,0.682808355942384,0.178952189167815,0.186034169683621,0.0746871556581234,0.000174591375887545,FALSE
2022,"filicide_birth_through_6_days","Filicide, birth-6 days",3,6,9,0.671398213803102,-0.0302203420086616,-0.0318136321198559,0.0976557805780888,0.00000684592665759293,FALSE
2023,"filicide_birth_through_6_days","Filicide, birth-6 days",1,3,4,0.66633206680612,0.354884020013664,0.362923673761154,0.0438141970379069,0.000377209984800853,FALSE
2024,"filicide_birth_through_6_days","Filicide, birth-6 days",1,1,2,0.6769579760514,-0.535149068969696,-0.541015618080059,0.0215695876493964,0.000403284491909376,FALSE
2025,"filicide_birth_through_6_days","Filicide, birth-6 days",3,3,6,0.659137581752995,-0.822376671088602,-0.851210718703957,0.0666008602316074,0.00323122073597248,FALSE
2016,"filicide_days_7_through_364","Infant filicide, 7-364 days",81,42,123,0.373858211702671,-0.742571048178982,-0.794883098695606,0.127290909713111,0.00575989323743733,FALSE
2017,"filicide_days_7_through_364","Infant filicide, 7-364 days",66,48,114,0.389361380989249,0.693942094836777,0.739222457563635,0.11875602446913,0.00460245776012769,FALSE
2018,"filicide_days_7_through_364","Infant filicide, 7-364 days",68,33,101,0.402529280218056,-1.55329305334159,-1.64311704579864,0.106345188773551,0.0200800628657132,FALSE
2019,"filicide_days_7_through_364","Infant filicide, 7-364 days",71,41,112,0.399273534527511,-0.717465458885381,-0.763426057848884,0.116781746521022,0.00481638179754694,FALSE
2020,"filicide_days_7_through_364","Infant filicide, 7-364 days",70,35,105,0.402412514628051,-1.44346196632154,-1.52683815539069,0.106232246343768,0.017317998966099,FALSE
2021,"filicide_days_7_through_364","Infant filicide, 7-364 days",60,38,98,0.416188897208568,-0.571039891662478,-0.601977601867636,0.100145627235054,0.00252057974453881,FALSE
2022,"filicide_days_7_through_364","Infant filicide, 7-364 days",88,55,143,0.403565520592149,-0.461893607005088,-0.498497986495956,0.141466817049963,0.00255920061146877,FALSE
2023,"filicide_days_7_through_364","Infant filicide, 7-364 days",69,65,134,0.398072115175792,2.05745848112191,2.20973304293868,0.133072977522754,0.0468454021119473,FALSE
2024,"filicide_days_7_through_364","Infant filicide, 7-364 days",67,55,122,0.40967246701389,0.924177409902021,0.986986429777019,0.123224644248638,0.0085568046880086,FALSE
2025,"filicide_days_7_through_364","Infant filicide, 7-364 days",44,41,85,0.390385288735408,1.73808144235058,1.82001202547199,0.0880065270865748,0.0199779851280023,FALSE
2016,"filicide_years_1_through_4","Filicide, 1-4 years",66,49,115,0.52675743441598,-2.16223958302753,-2.29192527424812,0.109965749997193,0.0405631474522217,FALSE
2017,"filicide_years_1_through_4","Filicide, 1-4 years",65,56,121,0.543101485741713,-1.77301438084256,-1.88301242335891,0.113419559736485,0.0283502047294433,FALSE
2018,"filicide_years_1_through_4","Filicide, 1-4 years",65,83,148,0.556728411231004,0.099974612076568,0.107562637657729,0.136113736651098,0.000113932674563179,FALSE
2019,"filicide_years_1_through_4","Filicide, 1-4 years",63,80,143,0.55338062921139,0.145765547634211,0.156398751304201,0.131353219077661,0.000231176713810573,FALSE
2020,"filicide_years_1_through_4","Filicide, 1-4 years",59,86,145,0.556608586470114,0.884600406225253,0.947200496916617,0.127811342548775,0.00821718025721522,FALSE
2021,"filicide_years_1_through_4","Filicide, 1-4 years",51,68,119,0.570623159911068,0.0177499572534073,0.018758065079379,0.104596997276865,0.00000256895658383024,FALSE
2022,"filicide_years_1_through_4","Filicide, 1-4 years",73,96,169,0.557791014722734,0.268463646329399,0.290437292210863,0.14559021990233,0.000898360745070243,FALSE
2023,"filicide_years_1_through_4","Filicide, 1-4 years",56,84,140,0.55214170651351,1.13874278784229,1.21569288884694,0.122588088044264,0.0129054310653203,FALSE
2024,"filicide_years_1_through_4","Filicide, 1-4 years",52,77,129,0.564024778446046,0.752962430583261,0.799637501407297,0.113333484469128,0.00510815724667239,FALSE
2025,"filicide_years_1_through_4","Filicide, 1-4 years",42,54,96,0.544169401467089,0.360614733104262,0.377813631695872,0.0889720832615805,0.000871279184343914,FALSE
2016,"filicide_years_5_through_9","Filicide, 5-9 years",20,17,37,0.528633415811354,-0.842920809793971,-0.881524690146835,0.0856665885861661,0.00455046587244168,FALSE
2017,"filicide_years_5_through_9","Filicide, 5-9 years",19,17,36,0.544968645059687,-0.876509188662403,-0.915074354207756,0.0825124526167065,0.00470665215812548,FALSE
2018,"filicide_years_5_through_9","Filicide, 5-9 years",14,16,30,0.558585143957108,-0.278538343040065,-0.288577538147946,0.0683668634324783,0.000381949366423941,FALSE
2019,"filicide_years_5_through_9","Filicide, 5-9 years",31,31,62,0.55524018219982,-0.875281463634375,-0.943663603038668,0.139677951758182,0.00903610422487869,FALSE
2020,"filicide_years_5_through_9","Filicide, 5-9 years",21,29,50,0.558465423047513,0.306648498400427,0.325260108040016,0.111167183233361,0.00082698597033055,FALSE
2021,"filicide_years_5_through_9","Filicide, 5-9 years",17,35,52,0.572466386478951,1.46650993237824,1.55854217321361,0.114613490541499,0.019652598113029,FALSE
2022,"filicide_years_5_through_9","Filicide, 5-9 years",28,40,68,0.559646817052708,0.474884383473871,0.514914352039759,0.149438379632839,0.00291143017451687,FALSE
2023,"filicide_years_5_through_9","Filicide, 5-9 years",23,30,53,0.554002260484121,0.176270276563563,0.187641677357904,0.117530795464362,0.000293083080167548,FALSE
2024,"filicide_years_5_through_9","Filicide, 5-9 years",24,23,47,0.565874780714883,-1.05831981650351,-1.11808187100775,0.104044076995277,0.0090731469688234,FALSE
2025,"filicide_years_5_through_9","Filicide, 5-9 years",15,27,42,0.546035844514268,1.26030073475217,1.32501611453738,0.0952969411046771,0.011558333983304,FALSE
2016,"filicide_years_10_through_14","Filicide, 10-14 years",10,7,17,0.44501047058639,-0.275824778390791,-0.284859182919433,0.0624248083044211,0.000337669298690933,FALSE
2017,"filicide_years_10_through_14","Filicide, 10-14 years",14,12,26,0.46129046275857,0.0025367148320583,0.00266708905430711,0.0953756734744456,0.0000000468731787692695,FALSE
2018,"filicide_years_10_through_14","Filicide, 10-14 years",17,12,29,0.474998707274919,-0.660030166888879,-0.698254530633279,0.106488705703052,0.0036317090140556,FALSE
2019,"filicide_years_10_through_14","Filicide, 10-14 years",11,8,19,0.471619495224407,-0.441543556085397,-0.457833264156954,0.0698940658448956,0.000984470243528077,FALSE
2020,"filicide_years_10_through_14","Filicide, 10-14 years",22,15,37,0.474877628266384,-0.846234917758737,-0.909389009207294,0.134070608543022,0.00800258912033915,FALSE
2021,"filicide_years_10_through_14","Filicide, 10-14 years",11,10,21,0.489104364170476,-0.118385850030721,-0.123194825130641,0.076547284397414,0.0000786285150178735,FALSE
2022,"filicide_years_10_through_14","Filicide, 10-14 years",23,28,51,0.476072854026691,1.04308307497341,1.15434841592113,0.183485362589469,0.018715062844667,FALSE
2023,"filicide_years_10_through_14","Filicide, 10-14 years",12,13,25,0.470370837883102,0.497165298986122,0.521335456785906,0.0905745772201082,0.0016918184939618,FALSE
2024,"filicide_years_10_through_14","Filicide, 10-14 years",17,14,31,0.48238960023244,-0.342927561232738,-0.36402671068728,0.112561473250516,0.0010505047244936,FALSE
2025,"filicide_years_10_through_14","Filicide, 10-14 years",14,16,30,0.46236030149972,0.779682975894659,0.826194313622369,0.109422537987276,0.0052417886250723,FALSE
2016,"filicide_years_15_through_17","Filicide, 15-17 years",5,3,8,0.366445402073154,0.0502166727272635,0.0520542942455674,0.0693577992948741,0.0000126213469489551,FALSE
2017,"filicide_years_15_through_17","Filicide, 15-17 years",6,4,10,0.38182862955436,0.118276644177754,0.123847891378351,0.0879455756781185,0.0000924379897830538,FALSE
2018,"filicide_years_15_through_17","Filicide, 15-17 years",6,3,9,0.394906527698402,-0.377880559340371,-0.393991821882796,0.0801125695825863,0.000844929374774859,FALSE
2019,"filicide_years_15_through_17","Filicide, 15-17 years",3,2,5,0.391672018893093,0.0381500018713791,0.0390266612004826,0.0444215858884493,0.00000442517593741419,FALSE
2020,"filicide_years_15_through_17","Filicide, 15-17 years",4,6,10,0.394790512216635,1.32758158296426,1.39059283678549,0.0885717991815164,0.0117449993688078,FALSE
2021,"filicide_years_15_through_17","Filicide, 15-17 years",5,5,10,0.408484323312121,0.588741525496815,0.61701606541363,0.089549384982405,0.00234034118461916,FALSE
2022,"filicide_years_15_through_17","Filicide, 15-17 years",7,5,12,0.39593614883778,0.146840810412233,0.155316026577264,0.106157496109733,0.0001790615025915,FALSE
2023,"filicide_years_15_through_17","Filicide, 15-17 years",12,9,21,0.390478604869017,0.357815966110147,0.39625257754118,0.184591507771071,0.00222157359477759,FALSE
2024,"filicide_years_15_through_17","Filicide, 15-17 years",10,4,14,0.402005459803977,-0.88745468802589,-0.948502262985274,0.124581675612829,0.00800194007729931,FALSE
2025,"filicide_years_15_through_17","Filicide, 15-17 years",12,4,16,0.38284514774022,-1.09319349795001,-1.17903375544052,0.140310540685141,0.0141801619755411,FALSE
