"omitted_year","homicide_group","homicide_group_label","full_model_adjusted_odds_ratio","leave_one_year_out_adjusted_odds_ratio","percent_change_from_full_model"
2016,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,13.2262291992901,-16.3056108508481
2016,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,5.32565739278016,1.76360249347431
2016,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,10.1542612591207,4.08183566865943
2016,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,10.0763319823583,2.50855951011544
2016,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,7.09560892401168,0.961946506119116
2016,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,5.06167946349941,-0.155788075999685
2017,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,15.994262143848,1.21025273723603
2017,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,5.16011726452329,-1.39956752784324
2017,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,10.0874394375328,3.39690766886585
2017,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,10.0762046374691,2.50726400484789
2017,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,7.03188018129948,0.0551634545845614
2017,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,5.03597769095878,-0.662768662754354
2018,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,15.5637367237418,-1.51407341090771
2018,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,5.40089136776368,3.2011865811415
2018,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,9.7430103352158,-0.133512940970126
2018,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,9.90478290516739,0.763356114780511
2018,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,7.2307672518401,2.88508629724988
2018,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,5.18567501412447,2.29008747252473
2019,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,16.1150637051029,1.97467415509833
2019,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,5.31614536371069,1.58184496125984
2019,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,9.7326480264985,-0.239727276561807
2019,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,10.1704272464065,3.46580962763727
2019,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,7.1342470952303,1.51172102405612
2019,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,5.06433862218583,-0.103334813136835
2020,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,17.5969991036903,11.352228110532
2020,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,5.39033281473674,2.99943188422906
2020,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,9.58344989252307,-1.76901781441882
2020,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,9.73249846782435,-0.989328247839272
2020,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,7.32711085796958,4.2559394703066
2020,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,4.66737419973169,-7.93366073709382
2021,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,15.6173916688699,-1.1745497424712
2021,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,5.29091439219946,1.09972709936477
2021,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,9.7503556144428,-0.0582233530881826
2021,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,9.35053872535046,-4.8750818197149
2021,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,7.05511434577884,0.385757558121069
2021,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,4.88508620940232,-3.63918018203184
2022,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,15.8332495357153,0.191379430269478
