"period","start_year","end_year","homicide_group","homicide_group_label","adjusted_odds_ratio_vs_other_homicide","cluster_robust_ci_lower","cluster_robust_ci_upper","p_value","holm_adjusted_p_value"
"2016-2020",2016,2020,"filicide_birth_through_6_days","Filicide, birth-6 days",16.5902190970612,10.6148106489923,25.9293715912515,6.41163247410796e-35,1.92348974223239e-34
"2016-2020",2016,2020,"filicide_days_7_through_364","Infant filicide, 7-364 days",4.48947269255431,3.87080133095172,5.20702648726103,1.08528608928025e-87,5.42643044640126e-87
"2016-2020",2016,2020,"filicide_years_1_through_4","Filicide, 1-4 years",8.87893408191384,7.7574316700827,10.1625736176327,1.75575336568562e-220,1.05345201941137e-219
"2016-2020",2016,2020,"filicide_years_5_through_9","Filicide, 5-9 years",8.35901758729133,6.59645355439354,10.5925364968434,3.89849927424533e-69,1.55939970969813e-68
"2016-2020",2016,2020,"filicide_years_10_through_14","Filicide, 10-14 years",5.79575534909659,4.2314235378122,7.93841121466876,6.84067142586e-28,1.368134285172e-27
"2016-2020",2016,2020,"filicide_years_15_through_17","Filicide, 15-17 years",6.00692304157408,3.41038709589242,10.5803603558239,0.000000000537977394699636,0.000000000537977394699636
"2021-2025",2021,2025,"filicide_birth_through_6_days","Filicide, birth-6 days",14.003606575341,7.29289901646029,26.8893065260231,2.20990161724574e-15,4.41980323449149e-15
"2021-2025",2021,2025,"filicide_days_7_through_364","Infant filicide, 7-364 days",6.01686653330784,5.25779226905974,6.88552932999654,5.8493189194412e-150,2.9246594597206e-149
"2021-2025",2021,2025,"filicide_years_1_through_4","Filicide, 1-4 years",10.741338095003,9.41588524718044,12.2533719392675,1.9608376136298e-273,1.17650256817788e-272
"2021-2025",2021,2025,"filicide_years_5_through_9","Filicide, 5-9 years",11.2499305477183,9.02998558032062,14.0156300586243,2.68897202266893e-103,1.07558880906757e-102
"2021-2025",2021,2025,"filicide_years_10_through_14","Filicide, 10-14 years",8.19908772915776,6.20813240991439,10.8285447460925,1.00732474168215e-49,3.02197422504645e-49
"2021-2025",2021,2025,"filicide_years_15_through_17","Filicide, 15-17 years",4.59382548772309,2.9337736682698,7.1932040429349,2.66117471464496e-11,2.66117471464496e-11
