"year","sex","filicide_offender_records","parent_count","source_method","source_url","source_file_md5","denominator_definition","reported_records_per_million_parent_years"
2016,"female",132,36307000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",3.63566254441292
2016,"male",185,28584000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",6.47215225300868
2017,"female",148,35753000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",4.13951276815932
2017,"male",176,28468000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",6.18238021638331
2018,"female",156,35653000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",4.37550837236698
2018,"male",174,28588000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",6.08646984748846
2019,"female",169,35377000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",4.77711507476609
2019,"male",183,28490000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",6.42330642330642
2020,"female",173,34886000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",4.95900934472281
2020,"male",180,28247000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",6.37235812652671
2021,"female",161,34864000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",4.61794401101423
2021,"male",146,28222000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",5.1732690808589
2022,"female",230,34895000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",6.59120217796246
2022,"male",222,28319000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",7.83925986087079
2023,"female",204,34462000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",5.91956357727352
2023,"male",173,28052000,"Published Census CPS ASEC historical Table AD-2","https://www2.census.gov/programs-surveys/demo/tables/families/time-series/adults/ad2.xls","b1aa8d2bb1ea76ba0ab8fcb6344086d8","People with at least one coresident, never-married biological, step, or adopted child under age 18",6.16711820904035
2024,"female",174,34188507.89,"Derived from Census CPS ASEC public-use person records using child-to-parent pointers and MARSUPWT","https://www2.census.gov/programs-surveys/cps/datasets/2024/march/asec2024_pubuse.dat.gz","430522bf48b5df21cc9afc998a751370","People with at least one coresident, never-married biological, step, or adopted child under age 18",5.08942948197205
2024,"male",171,28103352.61,"Derived from Census CPS ASEC public-use person records using child-to-parent pointers and MARSUPWT","https://www2.census.gov/programs-surveys/cps/datasets/2024/march/asec2024_pubuse.dat.gz","430522bf48b5df21cc9afc998a751370","People with at least one coresident, never-married biological, step, or adopted child under age 18",6.08468328932233
2025,"female",145,34601620.54,"Derived from Census CPS ASEC public-use person records using child-to-parent pointers and MARSUPWT","https://www2.census.gov/programs-surveys/cps/datasets/2025/march/asec2025_pubuse.dat.gz","729a7b853aa577a2b9b74eebc63fa13e","People with at least one coresident, never-married biological, step, or adopted child under age 18",4.19055517450051
2025,"male",130,28051307.26,"Derived from Census CPS ASEC public-use person records using child-to-parent pointers and MARSUPWT","https://www2.census.gov/programs-surveys/cps/datasets/2025/march/asec2025_pubuse.dat.gz","729a7b853aa577a2b9b74eebc63fa13e","People with at least one coresident, never-married biological, step, or adopted child under age 18",4.6343651222763
