"year","sex","offender_records","resident_population","estimate_date","source_vintage","source_url","source_file_md5","reported_records_per_million_person_years"
2016,"female",1349,163986062,"July 1, 2016","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158",8.22630889203254
2016,"male",10700,159085693,"July 1, 2016","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158",67.2593480797799
2017,"female",1465,165008683,"July 1, 2017","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158",8.87832066388894
2017,"male",10905,160113445,"July 1, 2017","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158",68.1079593284624
2018,"female",1524,165877686,"July 1, 2018","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158",9.18749252385881
2018,"male",10714,160960513,"July 1, 2018","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158",66.5629091279052
2019,"female",1565,166637617,"July 1, 2019","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158",9.39163694353598
2019,"male",11108,161692336,"July 1, 2019","2020 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2010-2020/national/asrh/nc-est2020-agesex-res.csv","dc20fc51c125876eeb8990acc362c158",68.6983704657467
2020,"female",2038,168797378,"July 1, 2020","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",12.0736472577198
2020,"male",14644,162780726,"July 1, 2020","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",89.961510553774
2021,"female",2077,169119376,"July 1, 2021","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",12.2812657492303
2021,"male",14240,162980790,"July 1, 2021","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",87.3722602522665
2022,"female",2368,170128220,"July 1, 2022","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",13.9189136287913
2022,"male",16801,163868084,"July 1, 2022","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",102.527591644997
2023,"female",2196,171521674,"July 1, 2023","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",12.8030466866829
2023,"male",16127,165233378,"July 1, 2023","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",97.6013454133946
2024,"female",2099,173135148,"July 1, 2024","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",12.1234770885459
2024,"male",14711,166868649,"July 1, 2024","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",88.1591604424148
2025,"female",1617,174047332,"July 1, 2025","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",9.29057619797355
2025,"male",12276,167737525,"July 1, 2025","2025 vintage","https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/national/asrh/nc-est2025-agesex-res.csv","53ecb27167d09a2502feee8d7b167f10",73.1857704470124
